ITEM NO.,PART NUMBER,DESCRIPTION,QTY.
1,.25x44.375x57.25,,2
2,.25x48x23.775 plywood,,16
3,.25x48x48 particle board,,20
4,.25x82.78125x48,,2
5,1488A11_Surface-Mount Hinge with Holes,Surface-Mount Hinge with Holes,4
6,1889A54_Draw Latch,Draw Latch,2
7,199in Tie Strap,,5
8,1x1x3,,32
9,2027K34,,4
10,247in Tie Strap,,4
11,24x24 MERV8 Filter,,4
12,2x4x21,,18
13,2x4x24,,8
14,2x4x41.375,,4
15,2x4x45,,18
16,2x4x48,,36
17,2x4x57.25,,4
18,2x4x80-Hole,,36
19,2x6x196,,10
20,2x6x199-Chamfered,,2
21,2x6x247-Chamfered,,2
22,2x6x45,,9
23,2x6x48,,10
24,4x4x83,,4
25,Half Inch Weather Stripping,,2
26,Sprayfoam Seal,,4
27,plastic sheeting 240x192,,2
28,plastic sheeting 240x82.78,,1
29,plastic sheeting 240x82.78-fan,,1
30,plastic sheeting door,,2
